id,Course,Year,NumClasses,FirstTimePref,SecondTimePref,ThirdTimePref
0,CMSC 99999,4,7,Evening,Afternoon,Morning
1,CMSC 99999,3,10,Morning,Afternoon,Evening
2,CMSC 99999,1,4,Evening,Afternoon,Morning
3,CMSC 99999,3,3,Afternoon,Morning,Evening
4,CMSC 99999,2,5,Afternoon,Evening,Morning
5,CMSC 99999,3,11,Morning,Afternoon,Evening
6,CMSC 99999,3,6,Afternoon,Evening,Morning
7,CMSC 99999,1,3,Morning,Evening,Afternoon
8,CMSC 99999,3,7,Morning,Afternoon,Evening
9,CMSC 99999,1,1,Evening,Morning,Afternoon
10,CMSC 99999,4,7,Morning,Evening,Afternoon
11,CMSC 99999,2,2,Morning,Afternoon,Evening
12,CMSC 99999,4,9,Evening,Morning,Afternoon
13,CMSC 99999,4,5,Evening,Morning,Afternoon
14,CMSC 99999,2,8,Afternoon,Evening,Morning
15,CMSC 99999,2,9,Morning,Afternoon,Evening
16,CMSC 99999,4,6,Morning,Afternoon,Evening
17,CMSC 99999,1,2,Evening,Afternoon,Morning
18,CMSC 99999,3,12,Afternoon,Morning,Evening
19,CMSC 99999,3,11,Afternoon,Evening,Morning
20,CMSC 99999,2,10,Evening,Afternoon,Morning
21,CMSC 99999,2,8,Evening,Morning,Afternoon
22,CMSC 99999,3,4,Morning,Evening,Afternoon
23,CMSC 99999,3,10,Afternoon,Morning,Evening
24,CMSC 99999,3,7,Morning,Afternoon,Evening
25,CMSC 99999,4,8,Evening,Afternoon,Morning
26,CMSC 99999,3,8,Evening,Afternoon,Morning
27,CMSC 99999,4,3,Evening,Morning,Afternoon
28,CMSC 99999,3,3,Morning,Evening,Afternoon
29,CMSC 99999,1,3,Afternoon,Morning,Evening
30,CMSC 99999,2,4,Evening,Morning,Afternoon
31,CMSC 99999,3,7,Afternoon,Evening,Morning
32,CMSC 99999,1,1,Morning,Evening,Afternoon
33,CMSC 99999,2,1,Afternoon,Evening,Morning
34,CMSC 99999,2,10,Evening,Afternoon,Morning
35,CMSC 99999,2,10,Morning,Evening,Afternoon
36,CMSC 99999,1,4,Afternoon,Morning,Evening
37,CMSC 99999,1,2,Morning,Evening,Afternoon
38,CMSC 99999,4,5,Afternoon,Evening,Morning
39,CMSC 99999,2,8,Evening,Morning,Afternoon
40,CMSC 99999,1,1,Morning,Afternoon,Evening
41,CMSC 99999,4,12,Morning,Afternoon,Evening
42,CMSC 99999,1,1,Morning,Afternoon,Evening
43,CMSC 99999,1,1,Morning,Evening,Afternoon
44,CMSC 99999,1,2,Evening,Morning,Afternoon
45,CMSC 99999,1,2,Afternoon,Morning,Evening
46,CMSC 99999,4,10,Morning,Evening,Afternoon
47,CMSC 99999,3,9,Evening,Afternoon,Morning
48,CMSC 99999,2,1,Morning,Afternoon,Evening
49,CMSC 99999,3,1,Morning,Afternoon,Evening
50,CMSC 99999,1,2,Afternoon,Evening,Morning
51,CMSC 99999,3,5,Morning,Evening,Afternoon
52,CMSC 99999,4,14,Evening,Morning,Afternoon
53,CMSC 99999,4,1,Morning,Evening,Afternoon
54,CMSC 99999,1,2,Morning,Afternoon,Evening
55,CMSC 99999,2,5,Evening,Afternoon,Morning
56,CMSC 99999,3,12,Evening,Morning,Afternoon
57,CMSC 99999,2,7,Morning,Afternoon,Evening
58,CMSC 99999,1,4,Morning,Evening,Afternoon
59,CMSC 99999,1,4,Afternoon,Evening,Morning
60,CMSC 99999,1,2,Morning,Afternoon,Evening
61,CMSC 99999,2,8,Afternoon,Evening,Morning
62,CMSC 99999,3,1,Afternoon,Morning,Evening
63,CMSC 99999,4,10,Afternoon,Morning,Evening
64,CMSC 99999,1,1,Afternoon,Evening,Morning
65,CMSC 99999,4,1,Evening,Morning,Afternoon
66,CMSC 99999,2,4,Afternoon,Evening,Morning
67,CMSC 99999,2,5,Evening,Morning,Afternoon
68,CMSC 99999,1,4,Morning,Afternoon,Evening
69,CMSC 99999,1,4,Morning,Afternoon,Evening
70,CMSC 99999,2,2,Afternoon,Morning,Evening
71,CMSC 99999,4,13,Afternoon,Evening,Morning
72,CMSC 99999,1,2,Morning,Afternoon,Evening
73,CMSC 99999,4,3,Evening,Morning,Afternoon
74,CMSC 99999,1,1,Evening,Afternoon,Morning
75,CMSC 99999,4,9,Morning,Afternoon,Evening
76,CMSC 99999,2,1,Morning,Afternoon,Evening
77,CMSC 99999,3,2,Morning,Afternoon,Evening
78,CMSC 99999,4,7,Evening,Afternoon,Morning
79,CMSC 99999,1,1,Evening,Afternoon,Morning
80,CMSC 99999,4,11,Afternoon,Evening,Morning
81,CMSC 99999,1,4,Afternoon,Evening,Morning
82,CMSC 99999,2,1,Afternoon,Evening,Morning
83,CMSC 99999,1,2,Morning,Afternoon,Evening
84,CMSC 99999,4,11,Morning,Evening,Afternoon
85,CMSC 99999,1,4,Afternoon,Evening,Morning
86,CMSC 99999,4,14,Afternoon,Morning,Evening
87,CMSC 99999,4,11,Afternoon,Morning,Evening
88,CMSC 99999,2,10,Morning,Evening,Afternoon
89,CMSC 99999,1,4,Morning,Evening,Afternoon
90,CMSC 99999,3,12,Morning,Evening,Afternoon
91,CMSC 99999,3,7,Morning,Evening,Afternoon
92,CMSC 99999,2,4,Morning,Evening,Afternoon
93,CMSC 99999,1,2,Evening,Afternoon,Morning
94,CMSC 99999,2,3,Afternoon,Morning,Evening
95,CMSC 99999,3,8,Evening,Morning,Afternoon
96,CMSC 99999,1,3,Evening,Morning,Afternoon
97,CMSC 99999,4,3,Afternoon,Morning,Evening
98,CMSC 99999,3,12,Morning,Evening,Afternoon
99,CMSC 99999,4,2,Afternoon,Evening,Morning
100,CMSC 99999,4,10,Morning,Afternoon,Evening
101,CMSC 99999,1,1,Morning,Evening,Afternoon
102,CMSC 99999,3,9,Morning,Afternoon,Evening
103,CMSC 99999,2,5,Afternoon,Evening,Morning
104,CMSC 99999,1,2,Evening,Afternoon,Morning
105,CMSC 99999,4,12,Evening,Afternoon,Morning
106,CMSC 99999,1,4,Afternoon,Morning,Evening
107,CMSC 99999,4,12,Evening,Morning,Afternoon
108,CMSC 99999,1,2,Evening,Afternoon,Morning
109,CMSC 99999,1,2,Evening,Afternoon,Morning
110,CMSC 99999,1,3,Morning,Evening,Afternoon
111,CMSC 99999,4,9,Evening,Morning,Afternoon
112,CMSC 99999,2,10,Morning,Afternoon,Evening
113,CMSC 99999,2,8,Evening,Afternoon,Morning
114,CMSC 99999,1,2,Morning,Afternoon,Evening
115,CMSC 99999,4,14,Afternoon,Morning,Evening
116,CMSC 99999,2,4,Morning,Evening,Afternoon
117,CMSC 99999,4,10,Afternoon,Morning,Evening
118,CMSC 99999,4,2,Afternoon,Evening,Morning
119,CMSC 99999,1,4,Evening,Afternoon,Morning
120,CMSC 99999,2,1,Evening,Morning,Afternoon
121,CMSC 99999,4,12,Morning,Afternoon,Evening
122,CMSC 99999,1,4,Morning,Afternoon,Evening
123,CMSC 99999,4,5,Evening,Afternoon,Morning
124,CMSC 99999,4,2,Evening,Morning,Afternoon
125,CMSC 99999,1,3,Evening,Morning,Afternoon
126,CMSC 99999,4,1,Morning,Afternoon,Evening
127,CMSC 99999,4,11,Evening,Afternoon,Morning
128,CMSC 99999,1,3,Evening,Morning,Afternoon
129,CMSC 99999,2,9,Morning,Afternoon,Evening
130,CMSC 99999,2,3,Morning,Afternoon,Evening
131,CMSC 99999,2,10,Afternoon,Morning,Evening
132,CMSC 99999,1,4,Afternoon,Evening,Morning
133,CMSC 99999,3,7,Morning,Evening,Afternoon
134,CMSC 99999,4,4,Afternoon,Morning,Evening
135,CMSC 99999,2,9,Afternoon,Evening,Morning
136,CMSC 99999,3,2,Morning,Afternoon,Evening
137,CMSC 99999,1,4,Morning,Afternoon,Evening
138,CMSC 99999,4,7,Morning,Afternoon,Evening
139,CMSC 99999,4,2,Afternoon,Morning,Evening
140,CMSC 99999,1,1,Evening,Afternoon,Morning
141,CMSC 99999,3,9,Morning,Afternoon,Evening
142,CMSC 99999,3,8,Morning,Afternoon,Evening
143,CMSC 99999,3,2,Evening,Morning,Afternoon
144,CMSC 99999,3,8,Evening,Morning,Afternoon
145,CMSC 99999,1,2,Evening,Afternoon,Morning
146,CMSC 99999,3,1,Morning,Evening,Afternoon
147,CMSC 99999,1,4,Evening,Afternoon,Morning
148,CMSC 99999,4,4,Afternoon,Morning,Evening
149,CMSC 99999,1,3,Morning,Evening,Afternoon
150,CMSC 99999,1,1,Afternoon,Morning,Evening
151,CMSC 99999,3,6,Evening,Afternoon,Morning
152,CMSC 99999,4,3,Evening,Morning,Afternoon
153,CMSC 99999,2,3,Morning,Afternoon,Evening
154,CMSC 99999,1,3,Afternoon,Morning,Evening
155,CMSC 99999,1,2,Morning,Evening,Afternoon
156,CMSC 99999,2,6,Afternoon,Evening,Morning
157,CMSC 99999,2,5,Morning,Evening,Afternoon
158,CMSC 99999,4,7,Evening,Morning,Afternoon
159,CMSC 99999,2,3,Morning,Evening,Afternoon
160,CMSC 99999,4,4,Morning,Evening,Afternoon
161,CMSC 99999,4,6,Evening,Morning,Afternoon
162,CMSC 99999,1,4,Afternoon,Evening,Morning
163,CMSC 99999,3,1,Morning,Evening,Afternoon
164,CMSC 99999,4,7,Morning,Evening,Afternoon
165,CMSC 99999,2,3,Evening,Afternoon,Morning
166,CMSC 99999,3,9,Afternoon,Evening,Morning
167,CMSC 99999,2,7,Evening,Afternoon,Morning
168,CMSC 99999,3,1,Afternoon,Evening,Morning
169,CMSC 99999,3,11,Morning,Afternoon,Evening
170,CMSC 99999,1,2,Morning,Afternoon,Evening
171,CMSC 99999,4,14,Morning,Afternoon,Evening
172,CMSC 99999,2,9,Morning,Afternoon,Evening
173,CMSC 99999,1,4,Morning,Evening,Afternoon
174,CMSC 99999,4,14,Evening,Morning,Afternoon
175,CMSC 99999,4,9,Afternoon,Evening,Morning
176,CMSC 99999,3,7,Afternoon,Morning,Evening
177,CMSC 99999,1,1,Morning,Evening,Afternoon
178,CMSC 99999,3,1,Afternoon,Evening,Morning
179,CMSC 99999,2,7,Morning,Evening,Afternoon
180,CMSC 99999,1,4,Evening,Afternoon,Morning
181,CMSC 99999,4,2,Afternoon,Morning,Evening
182,CMSC 99999,2,8,Afternoon,Evening,Morning
183,CMSC 99999,3,2,Afternoon,Evening,Morning
184,CMSC 99999,1,3,Evening,Afternoon,Morning
185,CMSC 99999,3,11,Morning,Evening,Afternoon
186,CMSC 99999,3,1,Morning,Afternoon,Evening
